"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
3105568,"December 30, 2024",Texas,"Fort Worth","10305 North Fwy",1,0,0,0,0,N/A
3104716,"December 29, 2024",Minnesota,"Deer Creek",N/A,1,0,0,0,0,N/A
3105287,"December 28, 2024",Louisiana,Kentwood,"21099 Verberne Rd",1,0,0,0,0,N/A
3104359,"December 28, 2024",Wisconsin,Milwaukee,"3321 N 21st St",1,0,0,0,1,N/A
3102738,"December 26, 2024",Louisiana,"Baton Rouge","4944 S Sherwood Forest Blvd",1,0,0,0,1,N/A
3103289,"December 25, 2024",Illinois,Schaumburg,"1800 block of Carlisle Ct",1,0,0,0,1,N/A
3101336,"December 24, 2024","South Carolina",Columbia,"264 Harbison Blvd",1,0,0,0,0,N/A
3101105,"December 24, 2024",Nebraska,Lincoln,"1431 Hilltop Rd",1,0,0,0,1,N/A
3101176,"December 23, 2024",Florida,"Saint Petersburg","1051 3rd Ave N",1,0,0,0,0,N/A
3100590,"December 22, 2024",Georgia,Columbus,"1300 block of Floyd Rd",1,0,0,0,1,N/A
3099489,"December 20, 2024","North Carolina",Cary,"201 Fenton Gateway Dr",1,0,0,0,1,N/A
3097235,"December 18, 2024","South Carolina",Manning,"Jul Net Rd",1,0,0,0,0,N/A
3095363,"December 15, 2024",Ohio,Dayton,"700 block of Burwood Ave",1,0,0,0,1,N/A
3094266,"December 15, 2024","South Carolina",Hopkins,"100 block of Hunting Ave",1,0,0,0,2,N/A
3095635,"December 15, 2024",Mississippi,Starkville,"1425 Louisville St",1,0,0,0,0,N/A
3096616,"December 15, 2024",Nebraska,Omaha,"3214 Redick Ave",1,0,0,0,0,N/A
3093892,"December 14, 2024","West Virginia",Chapmanville,"Madison St",1,0,0,0,0,N/A
3094408,"December 14, 2024",Georgia,Ellenwood,"4000 block of Shane Trail",1,0,0,0,0,N/A
3094179,"December 14, 2024",Kansas,Burrton,"8200 block of S Prairie Lake Rd",1,0,0,0,0,N/A
3095900,"December 14, 2024",California,Columbia,"Columbia St and Cemetery Ln",1,0,0,0,0,N/A
3093914,"December 14, 2024",Tennessee,Memphis,"3200 block of Whispering Ln",1,0,0,0,0,N/A
3133780,"December 14, 2024",Florida,Hialeah,N/A,1,0,0,0,1,N/A
3093600,"December 13, 2024",Texas,"San Marcos","2101 TX-123",1,0,0,0,0,N/A
3093602,"December 12, 2024",Pennsylvania,Chambersburg,"258 Birch St",1,0,0,0,0,N/A
3090482,"December 9, 2024",Pennsylvania,"Wilkes Barre","555 Fellows Ave",1,0,0,0,1,N/A
