"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
3106259,"December 31, 2024",Illinois,Chicago,"1107 S Mozart St",0,1,0,0,0,N/A
3106353,"December 31, 2024",Nebraska,Omaha,"N 26th St and Blondo St",0,1,0,0,1,N/A
3109834,"December 31, 2024","North Carolina",Charlotte,N/A,0,1,0,0,0,N/A
3106868,"December 31, 2024",Nebraska,Omaha,"Saddlecreek Rd and Cuming St",0,1,0,0,0,N/A
3132598,"December 31, 2024",Texas,"Port Arthur","800 block of Sabine Ave",0,1,0,0,1,N/A
3106673,"December 31, 2024",Vermont,Rutland,"School St",0,1,0,0,0,N/A
3105771,"December 31, 2024",Texas,"San Antonio","2130 Culebra Rd",0,1,0,0,0,N/A
3106896,"December 31, 2024",California,Clovis,"107 Osmun Cir",0,1,0,0,0,N/A
3105634,"December 30, 2024",Arizona,Tucson,"7745 S Precious Opal Dr",0,1,0,0,1,N/A
3104842,"December 29, 2024",Florida,"Haines City","Tennessee St",0,1,0,1,1,N/A
3103977,"December 28, 2024",Alabama,Birmingham,"4300 block of Jackson St",0,1,0,0,0,N/A
3104301,"December 28, 2024",Maryland,Baltimore,"2800 block of Oakford Ave",0,1,0,0,0,N/A
3104969,"December 28, 2024","New York",Irving,"Buffalo Rd",0,1,0,0,0,N/A
3104911,"December 28, 2024",Colorado,Aurora,"1011 S Abilene St",0,1,0,0,0,N/A
3104265,"December 28, 2024","South Carolina","Georgetown (county)",N/A,0,1,0,0,0,N/A
3107873,"December 28, 2024",Georgia,"Flowery Branch",N/A,0,1,0,0,0,N/A
3103293,"December 27, 2024",Alabama,Mobile,"1300 block of Willow Ln",0,1,0,0,0,N/A
3103784,"December 27, 2024",Florida,Zephyrhills,"5058 Gall Blvd",0,1,0,0,1,N/A
3104847,"December 27, 2024",Kansas,Manhattan,N/A,0,1,0,0,0,N/A
3103254,"December 27, 2024",Tennessee,Memphis,"2500 block of Elms Ct Dr",0,1,0,0,0,N/A
3104061,"December 27, 2024","South Carolina",Greenwood,"Hatchers Pass and Battery Dr",0,1,0,0,1,N/A
3103048,"December 26, 2024",Alabama,Mobile,"Cottage Hill Rd and Schillinger Rd",0,1,0,0,1,N/A
3102724,"December 26, 2024",Illinois,Chicago,"3800 block of W 14th St",0,1,0,0,1,N/A
3111249,"December 26, 2024",Louisiana,Monroe,"1700 block of Third St",0,1,0,0,0,N/A
3102519,"December 25, 2024",Michigan,Lansing,"Dunckel Rd and E Jolly Rd",0,1,0,0,0,N/A
