"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
3104306,"December 29, 2024",Tennessee,Philadelphia,"2300 block of Reed Springs Rd",0,1,0,0,1,N/A
3102679,"December 26, 2024",Indiana,Marion,"3000 block of County Rd 450 N",0,1,0,1,1,N/A
3098753,"December 20, 2024",Louisiana,"Ville Platte","N Chataignier St",0,3,0,0,0,N/A
3099323,"December 20, 2024",Oklahoma,"Oklahoma City","6600 block of Bayberry Dr",1,2,1,0,0,N/A
3099063,"December 20, 2024",Ohio,"Dayton (Trotwood)","Shiloh Springs Rd and Olive Rd",0,1,1,0,0,N/A
3098084,"December 19, 2024",Texas,Forney,"Falcon Way and Jersey Ln",0,5,0,0,0,N/A
3093561,"December 13, 2024",Georgia,"Young Harris","Plott Town Rd",0,1,0,0,0,N/A
3093761,"December 13, 2024",Arizona,Tempe,"S Rural Rd and E Baseline Rd",0,1,1,0,0,N/A
3093841,"December 13, 2024",Vermont,"Saint Johnsbury","261 Portland St",0,1,0,0,1,N/A
3092436,"December 11, 2024",Oklahoma,Muskogee,"900 Block of N M St",0,1,0,1,1,N/A
3091670,"December 10, 2024",Texas,Abilene,"1700 block of Roosevelt St",0,1,0,0,0,N/A
3089304,"December 7, 2024",Florida,Deltona,"101 Howland Blvd",0,1,0,0,0,N/A
3089011,"December 7, 2024",Illinois,Cicero,"6121 W 35th St",0,1,0,0,2,N/A
3083965,"November 29, 2024","West Virginia",Bolt,"E Breckenridge Village",0,1,1,0,0,N/A
3082364,"November 27, 2024",Georgia,Decatur,"1100 Waldrop Pl",0,2,0,0,1,N/A
3081664,"November 26, 2024",Michigan,"Lincoln Park","26400 block of Outer Dr",0,1,0,1,1,N/A
3078054,"November 21, 2024",Louisiana,Alexandria,"6410 Masonic Dr",0,1,0,1,1,N/A
3075774,"November 19, 2024",Illinois,Chicago,"5600 block of W Leland Ave",0,1,0,0,0,N/A
3076833,"November 19, 2024",California,"Long Beach","5200 Atlantic Ave",0,1,1,0,0,N/A
3076322,"November 19, 2024",Kentucky,Louisville,"400 block of Roselane St",0,2,0,1,1,N/A
3075052,"November 18, 2024",Ohio,"North Canton","6880 Sunset Strip Ave NW",0,1,1,0,0,N/A
3085790,"November 17, 2024",Missouri,Lawson,"213 Montgomery St",1,1,1,0,0,N/A
3073352,"November 15, 2024",Pennsylvania,Pottstown,"200 block of Chestnut St",0,1,0,0,1,N/A
3072066,"November 13, 2024",Georgia,Palmetto,"US-29 and Tommy Lee Cook Rd",0,1,1,0,0,N/A
3071583,"November 13, 2024",California,"San Diego","1300 block of Union St",2,1,1,0,0,N/A
